block_seed,architecture,condition,family,lambda,rho,mu,graph_index,graph_id,log_loss,accuracy,brier
17,mean_degree,rho_low,homophily,24.0,0.3,0.35,5,target:17:rho_low:5:1320169094,0.6686415076255798,0.757080078125,0.18505048751831055
17,sum,rho_low,homophily,24.0,0.3,0.35,5,target:17:rho_low:5:1320169094,0.7423809766769409,0.76171875,0.18658053874969482
17,pna,rho_low,homophily,24.0,0.3,0.35,5,target:17:rho_low:5:1320169094,0.6431781649589539,0.740478515625,0.19149374961853027
17,mean,rho_low,homophily,24.0,0.3,0.35,6,target:17:rho_low:6:1947459754,0.6729059815406799,0.7646484375,0.18124446272850037
17,mean_degree,rho_low,homophily,24.0,0.3,0.35,6,target:17:rho_low:6:1947459754,0.6873133182525635,0.760498046875,0.1830262839794159
17,sum,rho_low,homophily,24.0,0.3,0.35,6,target:17:rho_low:6:1947459754,0.7768091559410095,0.77001953125,0.18670421838760376
17,pna,rho_low,homophily,24.0,0.3,0.35,6,target:17:rho_low:6:1947459754,0.644294261932373,0.752197265625,0.18597041070461273
17,mean,rho_low,homophily,24.0,0.3,0.35,7,target:17:rho_low:7:1468638280,0.6693059206008911,0.749267578125,0.18835192918777466
17,mean_degree,rho_low,homophily,24.0,0.3,0.35,7,target:17:rho_low:7:1468638280,0.6740738749504089,0.749267578125,0.1886167675256729
17,sum,rho_low,homophily,24.0,0.3,0.35,7,target:17:rho_low:7:1468638280,0.7527918815612793,0.755615234375,0.19131341576576233
17,pna,rho_low,homophily,24.0,0.3,0.35,7,target:17:rho_low:7:1468638280,0.633245050907135,0.747314453125,0.18685907125473022
17,mean,rho_high,homophily,24.0,0.8,0.35,0,target:17:rho_high:0:1721344470,0.0009207151597365737,0.99951171875,0.00025071512209251523
17,mean_degree,rho_high,homophily,24.0,0.8,0.35,0,target:17:rho_high:0:1721344470,0.0008052473422139883,1.0,0.00016655426588840783
17,sum,rho_high,homophily,24.0,0.8,0.35,0,target:17:rho_high:0:1721344470,0.0014651723904535174,0.999267578125,0.0004064266395289451
17,pna,rho_high,homophily,24.0,0.8,0.35,0,target:17:rho_high:0:1721344470,0.0031057370360940695,0.999267578125,0.0006841723807156086
17,mean,rho_high,homophily,24.0,0.8,0.35,1,target:17:rho_high:1:507576631,0.001966622658073902,0.99951171875,0.0004931529983878136
17,mean_degree,rho_high,homophily,24.0,0.8,0.35,1,target:17:rho_high:1:507576631,0.0017982282442972064,0.99951171875,0.00046528520761057734
17,sum,rho_high,homophily,24.0,0.8,0.35,1,target:17:rho_high:1:507576631,0.0019193195039406419,0.9990234375,0.0005220683524385095
17,pna,rho_high,homophily,24.0,0.8,0.35,1,target:17:rho_high:1:507576631,0.00431831693276763,0.9990234375,0.0010960502550005913
17,mean,rho_high,homophily,24.0,0.8,0.35,2,target:17:rho_high:2:30488370,0.0005218509468249977,1.0,8.978787809610367e-05
17,mean_degree,rho_high,homophily,24.0,0.8,0.35,2,target:17:rho_high:2:30488370,0.0005493813659995794,0.999755859375,9.330699685961008e-05
17,sum,rho_high,homophily,24.0,0.8,0.35,2,target:17:rho_high:2:30488370,0.0007141540991142392,0.999755859375,0.00013737220433540642
17,pna,rho_high,homophily,24.0,0.8,0.35,2,target:17:rho_high:2:30488370,0.0018955321284011006,0.999755859375,0.0002700595941860229
17,mean,rho_high,homophily,24.0,0.8,0.35,3,target:17:rho_high:3:1647993584,0.0007935046451166272,0.999755859375,0.0001645928859943524
17,mean_degree,rho_high,homophily,24.0,0.8,0.35,3,target:17:rho_high:3:1647993584,0.0007822040934115648,0.999755859375,0.00014885791460983455
17,sum,rho_high,homophily,24.0,0.8,0.35,3,target:17:rho_high:3:1647993584,0.0009642966324463487,1.0,0.00017477129586040974
17,pna,rho_high,homophily,24.0,0.8,0.35,3,target:17:rho_high:3:1647993584,0.002650645561516285,0.99951171875,0.00046424460015259683
17,mean,rho_high,homophily,24.0,0.8,0.35,4,target:17:rho_high:4:2100795558,0.0016690653283149004,0.999267578125,0.0004577172512654215
17,mean_degree,rho_high,homophily,24.0,0.8,0.35,4,target:17:rho_high:4:2100795558,0.0017185867764055729,0.999267578125,0.0004207628662697971
17,sum,rho_high,homophily,24.0,0.8,0.35,4,target:17:rho_high:4:2100795558,0.0025707618333399296,0.999267578125,0.0006123706116341054
17,pna,rho_high,homophily,24.0,0.8,0.35,4,target:17:rho_high:4:2100795558,0.0037458199076354504,0.998779296875,0.0008234204724431038
17,mean,rho_high,homophily,24.0,0.8,0.35,5,target:17:rho_high:5:496034729,0.0006679950165562332,0.999755859375,0.00013881253835279495
17,mean_degree,rho_high,homophily,24.0,0.8,0.35,5,target:17:rho_high:5:496034729,0.0006370862247422338,1.0,0.00010288180783390999
17,sum,rho_high,homophily,24.0,0.8,0.35,5,target:17:rho_high:5:496034729,0.0009696657070890069,0.999755859375,0.0002384619729127735
